First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Dianne,(Kelly) Sanford,"Assistant United States Attorney (D.C.); Assistant Section Chief, Environment and Natural Resources Division",13,"Bush I, Reagan, Carter"
Stephanie,(Lachman) Golden,Trial Attorney,10,"Reagan, Carter, Ford"
Jonathan,Abernethy,"Assistant United States Attorney, SDNY",7,Bush II
Elkan,Abramowitz ,"Chief of the Criminal Division, SDNY",6,"Carter, Ford, Nixon, Johnson"
Donald,Abrams,Assistant United States Attorney for District of Columbia; also Organized Crime Strike Force Attorney for Connecticut,8,"Ford, Nixon"
Steven,Abrams,"Special Assistant United States Attorney Eastern District of NY, Immigration Judge",33,"Bush II, Clinton, Bush I, Reagan, Carter"
Ivan,Abrams,Assistant United States Attorney,8,"Bush I, Reagan"
Thomas,Abt,"Chief of Staff, OJP",4,Obama
Sergio,Acosta,"Chief General Crimes Section, Northern District of Illinois",18,"Obama, Bush II, Clinton, Bush I"
Jay,Adelstein,Senior Trial Attorney,23,"Trump, Obama, Bush II, Clinton"
Dennis,Aftergut,Assistant United States Attorney,4,Reagan
Mark,Agrast,Deputy Assistant Attorney General,5,Obama
Nick,Akerman,Assistant Special Watergate Prosecutor,10,"Bush I, Reagan, Carter, Ford"
Richard,Albert,Assistant United States Attorney,5,Clinton
Ramona,Albin,Assistant United States Attorney - Chief of the Appellate Division,10,"Trump, Obama, Bush II"
Cynthia,Alksne,Assistant United States Attorney,6,"Clinton, Bush I"
David,Allred,"Principal Deputy Chief, Criminal Section, Civil Rights Division",31,"Bush II, Clinton, Bush I, Reagan, Carter"
Steven,Alm,United States Attorney for the District of Hawaii,6,Clinton
Albert,Alschuler,Special Assistant to the Assistant Attorney General Criminal Division,1,Johnson
Leland,Altschuler,"Chief, Silicon Valley Office, USAO ND CA",15.5,"Bush II, Clinton, Bush I, Reagan"
Daniel,Anderson,"Deputy Director, Fraud Section, Civil Division",23,"Trump, Obama, Bush II, Clinton"
Stephen,Andersson,"Deputy chief, Public Corruption and Organized Crime Section, NDIL",32,"Obama, Bush II, Clinton, Bush I, Reagan"
Abigail,Andre,Trial Attorney,9,"Trump, Obama"
Stephen,Anear,Special Assistant United States Attorney,7,"Bush II, Clinton"
David,Apfel,Assistant United States Attorney,5,Clinton
Judith,Appelbaum,Principal Deputy Assistant Attorney General,4,Obama
James,Arisman,"Assistant United States Attorney, D.C.",4,"Clinton, Bush I"
William ,Aronwald,"Chief Criminal Division, USAOEDNY",6,Ford
M. Taylor ,Aspinwall,"Deputy Chief, Criminal Division, USAO EDPA",30,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Jeffrey,Auerhahn,Assistant United States Attorney,30,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Hannah,August,Spokeswoman,2,Obama
Roy,Austin,Deputy Assistant Attorney General,14,"Obama, Bush II, Clinton"
David,Axelrod,Assistant United States Attorney,8,"Bush I, Reagan"
Edna,Axelrod,"Chief, Appeals Division and Assistant United States Attorney",12,"Clinton, Bush I, Reagan, Carter"
Donald,Ayer,Deputy Attorney General,10,"Bush I, Reagan"
Marion,Bachrach,"Chief of General Crimes, EDNY",6,"Reagan, Carter"
Rhonda,Backinoff,Assistant Director OLE,29,"Obama, Bush II, Clinton, Bush I, Reagan"
Bill,Baer,Acting Associate Attorney General,4,Obama
Michael,Bailie,"Director, Office of Legal Education, EOUSA",32,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Wayne,Baker,Assistant United States Attorney,6,Bush II
Robert,Baker,Senior Trial attorney,38,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Russell T.,"Baker, Jr.",United States Attorney for Maryland 1978-1981,8,"Reagan, Carter, Nixon"
Rachel,Ballow,"Assistant United States Attorney, EDVa",20,"Bush II, Clinton, Bush I"
Richard,Banks,Assistant United States Attorney,11,"Clinton, Bush I, Reagan"
Leslie,Banks,Assistant United States Attorney,5,"Bush I, Reagan"
Caherine,Barbour,Case Manager,34,"Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
John,Barg,Assistant United States Attorney and DOJ Trial Attorney,10,"Reagan, Carter, Ford, Nixon"
Kenneth,Barish,Assistant United States Attorney ,5,Carter
Tamara,Barner,Assistant General Counsel,11,"Obama, Bush II"
Ana,Barnett,Executive Assistant United States Attorney ,16,"Clinton, Bush I, Reagan, Carter"
Linda,Barr,"Deputy Chief, OCDETF",15,"Trump, Obama, Bush II"
Jane Frances,Barrett,Assistant United States Attorney For the District of Maryland,11,"Bush II, Clinton, Bush I"
Maria,Barton,Assistant United States Attorney,11,"Bush II, Clinton"
Katherine J.,Barton,Trial Attorney ,17,"Trump, Obama, Bush II, Clinton"
Christopher ,Bator ,Assistant United States Attorney,27,"Trump, Obama, Bush II, Clinton, Bush I"
Elise,Bean,Trial Attorney,2,Reagan
Eugene,Beatty,Trial Attorney ,4,Reagan
James,Becker,"Chief, Major Crimes, USAO, EDPA",9,"Reagan, Carter"
Diana,Beinart,GS15,5,"Obama, Bush II"
Allen,Bentley,Assistant United States Attorney,5,"Carter, Ford"
Arianna,Berg,"Assistant United States Attorney, SDNY and NDCA",9,"Obama, Bush II"
Emily ,Berger ,"Deputy Chief, Criminal Appeals, U.S. Attorneys Office EDNY ",33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Paul,Bergman,"Chief, Appeals Division EDNY NY",4,"Ford, Nixon"
Stuart,Berman,"Chief, Southern Division, United States Attorney's Office, District of Maryland",28,"Obama, Bush II, Clinton, Bush I, Reagan"
Rick,Berne,Assistant United States Attorney. EDNY and NDCA,4,"Carter, Ford"
Roger J.,Bernstein,Assistant United States Attorney,6,"Bush I, Reagan"
Pamela,Berry,Special Assistant to the Assistant Attorney General Tax Division,9,"Clinton, Bush I"
Anurima ,Bhargava,"Chief, Educational Opportunities Section, CRT",6,"Obama, Bush II"
Dina,Biblin ,Trial Attorney,4,"Bush I, Reagan"
Barbara ,Biddle ,"Acting Director, Appellate Staff, Civil Division ",32,"Obama, Bush II, Clinton, Bush I, Reagan"
Sheldon “Shay”,Bilchik,Associate Deputy Attorney General,7,Clinton
Penny,Billings,"Assistant United States Attorney, Deputy Chief of Major Crimes ",16,"Bush II, Clinton, Bush I"
Nima,Binara,Attorney-Advisor,6,Obama
Neil,Binder,Assistant United States Attorney,4,"Bush II, Clinton"
Diane,Birnholz,Assistant United States Attorney,5,"Clinton, Bush I"
Carl,Blackstone,Supervisor,26,"Obama, Bush II, Clinton, Bush I, Reagan"
Guy,Blackwell,Court Appointed United States Attorney ,30,"Bush II, Clinton, Bush I, Reagan, Carter"
Paul ,Blaine,"Chief, Civil Division, USANJ",41,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
G. Robert,Blakey,Special Attorney ,5,Kennedy
Meghan,Blanco,Assistant United States Attorney,5,Obama
Jeff,Blattner,Deputy Assistant Attorney General,3,Clinton
Robert,Bloch,"Chief, Professions and Intellectual Property Section, Antitrust Division",17,"Clinton, Bush I, Reagan, Carter, Ford"
Joseph G (Jerry),Block,"Chief, Environmental Crimes Section, ENRD",6,"Bush I, Reagan"
David,Blotner,Assistant Chief,33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Blume,"Director, Consumer Protection Branch",15,"Trump, Obama, Bush II"
Daniel,Bogden,United States Attorney,25,"Trump, Obama, Bush II, Clinton, Bush I"
Helen,Bollwerk,"Executive Assistant United States Attorney for Management - USAO DC; Deputy Pardon Attorney, USDOJ",35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Laura,Bonander,Assistant United States Attorney,6,"Obama, Bush II"
Robert  J.,Bondi,Senior LItigation Counsel,33,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Noah,Bookbinder,Trial Attorney ,5,"Bush II, Clinton"
Richard ,Boote,Senior Attorney ,26,"Bush II, Clinton, Bush I, Reagan, Carter"
Tressa,Borland,Senior Trial Attorney ,22,"Bush II, Clinton, Bush I, Reagan"
Anthony,Borwick,Trial Attorney,6,"Ford, Nixon"
Mark,Boster,Deputy Assistant Attorney for IRM ,5,Clinton
Katharine,Bostick,Chief Organized Crime and Drug Enforcement Task Force,11,"Bush II, Clinton, Bush I"
Robert,Boylan,Trial Attorney ,25,"Bush II, Clinton, Bush I, Reagan, Carter"
Myesha,Braden,Trial Attorney/Legislation & Policy Counsel - CRT,16,"Trump, Obama, Bush II"
Alvin,Bragg,Assistant United States Attorney,3.5,Obama
Joyce,Branda,"Acting Assistant Attorney General, Civil Division",37,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Bert,Brandenburg,Director of Public Affairs,5,Clinton
Robert,Breakstone,Chief Criminal Division (SF),13,"Clinton, Reagan, Nixon"
Laurie,Brecher,"Assistant United States Attorney SDNY: Sr. Trial Counsel, Securities Fraud Task Force and Chief of General Crimes Unit",10,"Clinton, Bush I, Reagan"
Sharon,Brett,Trial Attorney,5,"Trump, Obama"
Robert,Brink,Deputy Assistant Attorney General,4,Clinton
Kathleen,Brinkman,Assistant United States Attorney SDOH,24,"Bush II, Clinton, Bush I, Reagan, Carter"
Stacey,Brodsky,"Chief, Civil Division SDNY",5,"Bush I, Reagan, Carter"
David,Brodsky,"Assistant United States Attorney, SDNY; Associate Independent Counsel, Washington, DC",5,Nixon
Michael,Bromwich,Inspector General,11,"Clinton, Bush I, Reagan"
Barbara,Brook,Special Litigation Counsel,28,"Obama, Bush II, Clinton, Bush I"
Jo,Brooks,Trial Attorney,6,"Bush I, Reagan"
