First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
David W.,Mernitz,First Assistant US Attorney,SD Indiana,"Johnson, Kennedy"
Frederick,Hess,"Director Office of Enforcement Operations, Criminal Division",43,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Burtis ,Dougherty ,Senior Trial Attorney ,42,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
John,Kolar,Senior Trial Counsel,41,Trump;Obama;Bush II;Clinton;Bush I;Reagan;Carter;Ford
E. Thomas,Roberts,"Chief of Narcotics Division, District of Maryland",40,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
David,Buvinger,AUSA NDIL & Trial Attorney USDOJ,39,Obama;Bush II;Clinton;Bush I;Reagan;Carter;Ford;Nixon
Hugh,Jais,Senior Prosecuter,39,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Judith,Rabinowitz,Assistant Director,38.5,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
John,Vaudreuil,"Presidentially Appointed US Attorney, Western District of Wisconsin",38,Trump;Obama;Bush II;Clinton;Bush I;Reagan;Carter
Jessica,Silver,"Principal Deputy, Appellate Section,  Civil Rights Division",38,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Mary,McLaren,Acting Associate Director of the Mutual Legal Assistance Unit i. The Officeof International Affairs,37,"Obama, Bush II, Clinton, Bush I, Reagan"
Pamela,Thompson,Executive Assistant U.S. Attorney,37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Kenneth,Jost,"Deputy Director, Consumer Protection Branch",37,Obama;Bush II;Clinton;Bush I;Reagan;Carter;Ford
Patrick,Molloy,"United States Attorney, Eastern District of Kentucky",37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Johnson"
Ann,Rowland,"Deputy Chief, Criminal Division",37,Trump;Obama;Bush II;Clinton;Bush I;Reagan;Carter
Mel,Johnson,"Senior Litigation Counsel, Assistant US Attorney",37,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Bruce,Repetto,"AUSA, Senior Litigation Counsel",37,"Bush II, Clinton, Bush I, Reagan, Carter"
Joe,Rich,"Chief, Voting Section, Civil Rights Division",37,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
William H. ,Stapleton,"Assistant Chief, Fraud Section, CRM",37,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Richard,Owens,"Associate Director, Office of International Affairs, Criminal Division",36,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Patricia,Kenney,Assistant U.S. Attorney,35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Mary Ann,French,Intelligence Analyst GS-14,35,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Helen,Bollwerk,"Executive Asst. U.S. Attorney for Management, USAO-DC; Deputy Pardon Attorney, USDOJ ",35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
William,Corcoran,"Senior Counsel, Public Integrity Section, Criminal Division, U.S. Department of Justice",35,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
George,Hardy,Chief of Criminal Division Northern District of California,34,Obama;Bush II;Clinton;Bush I;Reagan;Carter
Deborah,Sines,"Assistant United States Attorney, District of Columbia",34,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Jay,Weill,"Chief, Tax Division, USAO San Francisco",34,Bush II;Clinton;Bush I;Reagan;Carter;Ford;Nixon
Mary Lee,Warren,"Deputy Assistant Attorney General, Criminal Division",34,Obama;Bush II;Clinton;Bush I;Reagan
James,Lackner ,Appellate Chief,34,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Burney,Clark(Huber),Senior Trial Attorney,34,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Robert,Chapman,Former Assistant United States Attorney,34,Trump;Obama;Bush II;Clinton;Bush I;Reagan;Carter;Ford;Nixon
Steven,Abrams,Immigration Judge/ Special U.S. Attorney Eastern District of NY,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
