First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Dianne,(Kelly) Sanford,"Assistant Chief, Environmental Enforcement Section, Environment Division; Assistant United States Attorney, DC",13,"Bush I, Reagan, Carter"
Erin,(Powell) Vespe,Trial Attorney,4.5,"Bush II, Clinton"
Julie,Abbate,"Deputy Chief, Special Litigation Section, Civil Rights Division",15,"Trump, Obama, Bush II"
Jonathan,Abernethy,Assistant United States Attorney ,7,Bush II
Elkan,Abramowitz ,"Chief, Criminal Division, SDNY",6,"Carter, Ford, Nixon, Johnson"
Ivan,Abrams,"Trial Attorney, Criminal Division; Assistant United States Attorney, ED of California; Assistant United States Attorney, OCDETF, Arizona",8,"Bush I, Reagan"
Steven,Abrams,Immigration Judge,34,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Donald,Abrams,Assistant United States Attorney and Special Attorney Organized Crime Strike Force,8,"Carter, Ford, Nixon"
Neal,Abreu,Assistant United States Attorney,2,Carter
Monique,Abrishami,Trial Attorney,7.5,"Trump, Obama"
Thomas,Abt,"Chief of Staff, Office of Justice Programs",4,Obama
Sandra ,Acosta,Senior Trial Attorney,8,"Clinton, Bush I"
Jay,Adelstein,Senior Trial Attorney,23,"Trump, Obama, Bush II, Clinton"
Dennis,Aftergut,Assistant United States Attorney,4,"Reagan, Carter"
Nick,Akerman,Assistant Special Watergate Prosecutor,10,"Reagan, Carter, Ford, Nixon"
Linda,Akers,United States Attorney ,7,"Bush I, Reagan"
Sam,Alba,"First Assistant United States Attorney, District of Utah",7,"Reagan, Carter"
Richard ,Albert,Assistant United States Attorney,5,Clinton
Christopher Constantine ,Alberto ,"Chief, Justice Enforcement Team/Financial Litigation",20,"Obama, Bush II, Clinton, Bush I"
Ramona,Albin,Assistant United States Attorney,10,"Trump, Obama, Bush II"
Geraldine,Alexis,"Legal Advisor, Office of Legal Counsel",2,"Reagan, Carter"
Cynthia,Alksne,Assistant United States Attorney,6,"Clinton, Bush I"
Kimberly,Allan,Assistant United States Attorney,15,"Clinton, Bush I, Reagan"
David,Allen,Senior Trial Attorney,5,"Nixon, Johnson"
Gary,Allen,"Chief, Appellate Section, Tax Division",35,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Steven,Alm,United States Attorney for the District of Hawaii,6.5,Clinton
Albert,Alschuler,"Special Assistant to the Assistant Attorney General, Criminal Division",1,Johnson
Joshua,Altman,Attorney Advisor,9,"Trump, Obama, Bush II"
Lawrence ,Anderson,Assistant United States Attorney,25,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
David,Anderson,"Branch Director, Civil Division",36,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Jeff,Anderson,Acting United States Attorney,37,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Daniel,Anderson,"Deputy Director, Fraud Section (Civil)",23,"Trump, Obama, Bush II, Clinton"
Stephen,Andersson,"Deputy Chief, Public Corruption and Organized Crime",32,"Obama, Bush II, Clinton, Bush I, Reagan"
Lionel ,Andre,Assistant United States Attorney; Senior Litigation Counsel,16,"Trump, Obama, Bush II"
Stephen,Anear,Special Assistant United States Attorney,7,"Bush II, Clinton"
Anthony,Anikeeff,"Assistant Branch Director, Civil Division",12,"Bush II, Clinton, Bush I"
Travis,Annatoyn,Trial Attorney ,5,"Trump, Obama"
David,Apfel,Assistant United States Attorney,5,Clinton
Judith,Appelbaum,Acting Assistant Attorney General for Legislative Affairs,4,Obama
Allen,Applbaum,"Deputy Chief of the Criminal Division, United States Attorney’s Office, SDNY",9,"Clinton, Bush I"
Ronald,Apter,Supervisory Assistant United States Attorney,13,"Bush II, Clinton, Bush I"
Jocelyn ,Aqua,Senior Counsel,14,"Obama, Bush II"
Alberto,Arevalo,"Deputy Section Chief, SDCA",14,"Bush II, Clinton, Bush I"
James,Arisman,Assistant United States Attorney,3.5,Bush I
Michelle,Aronowitz,"Trial Attorney, Civil Rights Division",7,"Bush II, Clinton"
Patricia,Aronsson,"Special Assistant, AAG-Criminal",7,"Clinton, Bush I"
William ,Aronwald,"Chief Criminal Division, United States Attorney's Office EDNY",6.5,"Carter, Ford, Nixon"
Robert,Ashbaugh,Deputy Inspector General,30,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
M. Taylor ,Aspinwall ,Criminal Division Deputy Chief,32,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Jeffrey,Auerhahn,Assistant United States Attorney ,29,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Hannah,August,Press Secretary,2,Obama
Roy,Austin,Deputy Assistant Attorney General,14,"Obama, Bush II, Clinton"
Michelle,Avery Weston,Program Manager,5,"Bush II, Clinton"
David,Axelrod,Assistant United States Attorney,8,"Bush I, Reagan"
Edna,Axelrod,"Chief of Appeals, DNJ",13,"Clinton, Bush I, Reagan, Carter"
Donald,Ayer,"Deputy Attorney General, United States Attorney",10,"Bush I, Reagan, Carter"
Alfred Baltazar (Balt),Baca,Senior Trial Attonrey ,15,"Obama, Bush II, Clinton, Reagan, Carter"
Doria,Bachenheimer,"Senor Attorney, Office of the United States Trustee",6,"Clinton, Bush I"
Marion,Bachrach,"Chief of General Crimes, EDNY",6,"Reagan, Carter"
Rhonda,Backinoff,"Assistant Directer, Office of Legal Education",29,"Obama, Bush II, Clinton, Bush I, Reagan"
Susan,Badger,Assistant United States Attorney,31,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Bill,Baer,Acting Associate Attorney General,4,Obama
Miriam,Baer,"Assistant United States Attorney, SDNY",5,"Bush II, Clinton"
Steven,Baer,"Senior Counsel, Environmental Enforcement Section, ENRD",33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Bailie,"Director, Office of Legal Education, EOUSA",31,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Jacqueline ,Baillargeon,Attorney,1,Clinton
Douglas,Baily,United States Attorney for Alaska,2,Nixon
Terry,Bain,Immigration Judge,25,"Trump, Obama, Bush II, Clinton"
Chiraag,Bains,Senior Counsel to the Assistant Attorney General,6.5,Obama
Wayne,Baker,Assistant United States Attorney,6,Bush II
Robert,Baker,Senior Trial Attorney,38,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Russell T.,"Baker, Jr.",United States Attorney for Maryland,8,"Reagan, Carter, Ford, Nixon"
Gregory,Baldwin,"Assistant United States Attorney and Chief, Operation Greenback",11,"Reagan, Carter, Ford"
Katherine ,Baldwin,"Section Chief, Civil Rights Disivion",28,"Obama, Bush II, Clinton, Bush I, Reagan"
Peter,Ball,"Assistant United States Attorney, EDNY",3.5,"Bush I, Reagan"
Kenneth,Ballen,Assistant United States Attorney,5,Reagan
Rachel,Ballow,"Assistant United States Attorney, EDVa",20,"Bush II, Clinton, Bush I"
Leslie,Banks,Assistant United States Attorney,5,"Clinton, Bush I, Reagan"
Richard,Banks,Assistant United States Attorney ,11,"Clinton, Bush I, Reagan"
Norman,Barbosa,Assistant United States Attorney ,16,"Trump, Obama, Bush II"
Catherine,Barbour,Case Manager,34,"Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Celia,Barenholtz,"Chief Appellate Attorney, Criminal Division, United States Attorney's Office, SDNY",6,"Bush I, Reagan"
Kenneth,Barish,"Trial Attorney, Assistant United States Attorney",5,"Carter, Ford"
Alison ,Barkoff,"Special Counsel, Civil Rights Division",7,"Obama, Bush II"
Tamara,Barner,Assistant General Counsel,11,"Obama, Bush II"
Ken,Barnes,Trial Attorney,7.5,"Reagan, Carter"
Ana,Barnett,"Chief Assistant United States Attorney, SD FL",17,"Clinton, Bush I, Reagan, Carter"
Frederick,Baron,"Associate Deputy Attorney General; Director, Executive Office for National Security",6,"Clinton, Reagan, Carter"
Alan,Baron,Assistant United States Attorney,3,Johnson
Linda,Barr,"Deputy Chief, OCDETF",15,"Trump, Obama, Bush II"
Andrew,Barr,Assistant United States Attorney,6,"Nixon, Johnson"
John Q.,Barrett,Counselor to the Inspector General,6,"Clinton, Bush I, Reagan"
jane,Barrett,Assistant United States Attorney ,11,"Clinton, Bush I, Reagan, Carter"
Mark,Bartlett,"First Assistant, WD WA",25,"Obama, Bush II, Clinton, Bush I, Reagan"
Christopher ,Bator ,Assistant United States Attorney,27,"Trump, Obama, Bush II, Clinton, Bush I"
Steven,Bauer,Assistant United States Attorney ,5,"Clinton, Bush I"
Lew,Baylor,"Assistant Chief, Land Acquisition Section",29,"Obama, Bush II, Clinton, Bush I, Reagan"
Elise,Bean,"Trial Attorney, Commercial Litigation Branch",2,Reagan
Barbara,Bearnson,Acting First Assistant; Criminal Division Chief ,24,"Obama, Bush II, Clinton, Bush I"
Laurence,Beck,"Senior Trial Attorney, Public Integrity Section, Criminal Division",5,"Bush II, Reagan, Carter"
James,Becker,"Assistant United States Attorney, Chief, Major Crimes Section, EDPa",9,"Reagan, Carter"
Laura,Beckerman,Trial Attorney,6,"Trump, Obama"
Daniel,Beckhard,Assistant Inspector General for Oversight and Review,29,"Trump, Obama, Bush II, Clinton, Bush I"
Rae,Beehler,Paralegal Specialist,6,"Obama, Bush II"
Herbert,Beigel,Special Attorney/Strike Force ,3,Nixon
Diana,Beinart,Tax Prosecutor,5,"Obama, Bush II"
Ira,Belkin,"Chief, Criminal Division, United States Attorney's Office, DRI",18,"Bush II, Clinton, Bush I"
Gina,Belt,Trial Attorney,34,"Trump, Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Craig,Benedict,Assistant United State Attorney,32,"Obama, Bush II, Clinton, Bush I, Reagan"
John,Bennett,Assistant United States Attorney ,27.5,"Trump, Obama, Bush II, Clinton, Bush I"
Lawrence,Benson,Assistant United States Attorney,14,"Bush II, Clinton, Bush I, Reagan"
Allen,Bentley,"Assistant United States Attorney, S.D.N.Y.",5,"Carter, Ford"
Arianna,Berg,"Assistant United States Attorney, SDNY and NDCa",9,"Obama, Bush II"
Emily,Berger,"Deputy Chief of Criminal Appeals, United States Attorney's Office EDNY",33,"Trump, Obama, Bush II, Clinton, Bush I, Reagan"
Bruce,Berger,"Acting Deputy Chief, Criminal Section CRD",6,"Reagan, Carter, Ford"
Jane C,Bergner,"Trial Attorney, Tax Division",7,"Nixon, Johnson"
Brenda,Berlin,Senior Trial Attorney,6,"Clinton, Bush I"
Stuart,Berman,"Chief, Southern Division, United States Attorney's Office, District of Maryland",28,"Obama, Bush II, Clinton, Bush I, Reagan"
Joshua,Berman,Senior Trial Attorney; Assistant United States Attorney,7.5,"Obama, Bush II, Clinton"
Rick,Berne,"Assistant United States Attorney, EDNY NDCA4",4,"Carter, Ford"
Amy,Berne,"Chief, Civil Division, United States Attorney's Office, NDGA",30,"Obama, Bush II, Clinton, Bush I, Reagan"
Roger,Bernstein,Assistant United States Attorney,6,Reagan
Pamela,Berry,"Special Assistant to the Assistant Attorney General, Tax Division",9,"Clinton, Bush I"
Alan,Bersin,"United States Attorney, Southern District of California",5,Clinton
Ben,Berwick,Counsel to the Assistant Attorney General,7,"Trump, Obama"
Linda,Betzer,Assistant United States Attorney,26,"Bush II, Clinton, Bush I, Reagan"
Robin,Beusse,"Senior Deputy for Administration, Bureau of Prisons",30,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Anurima,Bhargava,"Chief, Educational Opportunities Section",6,"Obama, Bush II"
Dina,Biblin ,Trial Attorney,4,Reagan
Thomas,Bick,Senior Trial Attorney,4,Reagan
Russell,Bikoff,"Deputy Director, Supervisory Trial Attorney, Office of International Affairs, CRM",6,"Bush II, Clinton"
Shay,Bilchik,Associate Deputy Attorney General,7,Clinton
Michael,Billiel,Trial Attorney,30,"Obama, Bush II, Clinton, Bush I, Reagan"
Nima,Binara,"Attorney-Advisor, National Security Division",6,Obama
Neil,Binder,Assistant United States Attorney,4,"Bush II, Clinton"
Barbara,Bisno,Assistant United States Attorney,14,"Bush II, Clinton, Bush I"
Andrew,Biviano,Assistant United State Attorney,5,"Obama, Bush II"
William,Black,Trial Attorney,1,"Reagan, Carter"
Gary,Blackburn,Assistant United States Attorney,1,Carter
Carl,Blackstone,Supervisory Assistant United States Attorney,26,"Obama, Bush II, Clinton, Bush I, Reagan"
Guy,Blackwell,Interim United States Attorney; First Assistant United States Attorney,30,"Bush II, Clinton, Bush I, Reagan, Carter"
Paul ,Blaine ,"Chief, Civil Division",41,"Obama, Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Keith,Blair,Senior Trial Attorney,10,"Bush II, Clinton"
George ,Blakey,Special Attorney,4,"Johnson, Kennedy, Eisenhower"
Jeff,Blattner,Deputy Assistant Attorney General,3,Clinton
Kathleen,Bliss,Assistant United States Attorney,22,"Obama, Bush II, Clinton, Bush I"
Robert E.,Bloch,"Chief, Professions and Intellectual Section, Antitrust Division",17,"Bush II, Clinton, Bush I, Reagan, Carter, Ford"
Joseph G (Jerry),Block,"Chief, Environmental Crimes Section, ENRD",6,"Bush I, Reagan"
David,Blotner,"Assistant Chief, Antitrust Division ",33,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Michael,Blume,"Director, Consumer Protection Branch",15,"Trump, Obama, Bush II"
Jeffrey,Blumenfeld,"Chief, U.S. v. AT&T, Antitrust Division; Assistant United States Attorney, District of Columbia  ",11,"Reagan, Carter, Ford, Nixon"
Sen. Richard,Blumenthal,United States Attorney for the District of Connecticut,4,Carter
Benjamin,Blustein,Senior Trial Attorney,9,"Bush II, Clinton"
Daniel,Bogden,"United States Attorney, District of Nevada",25,"Trump, Obama, Bush II, Clinton, Bush I"
Larry,Boggs,Appellate Attorney ,6,"Carter, Ford"
Joshua,Bogin,Senior Trial Attorney,11,"Reagan, Carter"
Jeffrey,Bogue,Assistant United States Attorney,4,"Carter, Ford, Nixon"
Barry,Bohrer,"Chief Appellate Attorney, SDNY ",4,Reagan
Helen,Bollwerk,"Executive Assistant United States Attorney for Management, United States Attorney's Office - DC; Deputy Pardon Attorney, USDOJ",35,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Laura,Bonander,Assistant United States Attorney ,6,Bush II
Robert,Bondi,"Senior Litigation Counsel, Southern District of Florida",33,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon"
Noah,Bookbinder,Trial Attorney,5,"Bush II, Clinton"
Richard ,Boote,Senior Trial Attorney,25,"Clinton, Bush I, Reagan, Carter"
JoAnn,Bordeaux,"Deputy Director, Environmental Torts, Civil Division",28,"Trump, Obama, Bush II, Clinton, Bush I"
Edward,Borden,Assistant United States Attorney,4,"Reagan, Carter"
Tressa ,Borland,Senior Trial Attorney,22,"Bush II, Clinton, Bush I, Reagan"
Jeffrey,Bornstein ,Senior Litigation Counsel,19.6,"Bush II, Clinton, Bush I, Reagan"
Anthony,Borwick,Trial Attorney General Litigation Section Land and Natural Resources Division,6,"Ford, Nixon"
Mark,Boster,Deputy Assistant Attorney General,5,Clinton
