First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Kathleen,(Kaczmarek) Mehltretter,United States Attorney for the Western District of New York,32,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Dianne,(Kelly) Sanford,"Assistant United States Attorney (D.C.); Assistant Section Chief, Environment and Natural Resources Division",13,"Bush I, Reagan, Carter"
Stephanie,(Lachman) Golden,Trial Attorney,10,"Reagan, Carter, Ford"
Erin,(Powell) Vespe,Trial Attorney,4.5,"Bush II, Clinton"
Julie,Abbate,"Deputy Chief, Special Litigation Section, Civil Rights Division",15,"Trump, Obama, Bush II"
Jonathan,Abernethy,"Assistant United States Attorney, SDNY",7,Bush II
Elkan,Abramowitz ,"Chief of the Criminal Division, SDNY",6,"Carter, Ford, Nixon, Johnson"
Donald,Abrams,Assistant United States Attorney for District of Columbia; also Organized Crime Strike Force Attorney for Connecticut,8,"Ford, Nixon"
Steven,Abrams,"Special Assistant United States Attorney Eastern District of NY, Immigration Judge",33,"Bush II, Clinton, Bush I, Reagan, Carter"
Ivan,Abrams,Assistant United States Attorney,8,"Bush I, Reagan"
Monique,Abrishami,Trial Attorney,7.5,Obama
Thomas,Abt,"Chief of Staff, OJP",4,Obama
Sergio,Acosta,"Chief General Crimes Section, Northern District of Illinois",18,"Obama, Bush II, Clinton, Bush I"
Sandra,Acosta,Senior Trial Attorney,8,"Clinton, Bush I"
John,Adams,Supervisory Special Agent ,25,"Bush II, Clinton, Bush I, Reagan, Carter"
Julien,Adams,Assistant United States Attorney,6,Clinton
Jay,Adelstein,Senior Trial Attorney,23,"Trump, Obama, Bush II, Clinton"
Jo Anne,Adlerstein,"Assistant United States Attorney, DNJ",6.5,"Reagan, Carter"
Dennis,Aftergut,Assistant United States Attorney,4,Reagan
Mark,Agrast,Deputy Assistant Attorney General,5,Obama
Elizabeth,Ainslie,"Assistant United States Attorney, EDPa",6,"Reagan, Carter"
Nick,Akerman,Assistant Special Watergate Prosecutor,10,"Bush I, Reagan, Carter, Ford"
Linda,Akers,"United States Attorney, District of Arizona",7,"Bush I, Reagan"
Samuel,Alba,"First Assistant United States Attorney, District of Utah",7,"Reagan, Carter"
Richard,Albert,Assistant United States Attorney,5,Clinton
Christopher Constantine ,Alberto ,"Chief, Financial Litigation/Justice Enforcement Team",20,"Obama, Bush II, Clinton, Bush I"
Ramona,Albin,Assistant United States Attorney - Chief of the Appellate Division,10,"Trump, Obama, Bush II"
Carolyn,Alden,Assistant Attorney,5,"Reagan, Carter"
Cynthia,Alksne,Assistant United States Attorney,6,"Clinton, Bush I"
Kimberly,Allan,Assistant Unites States Attorney,15,"Clinton, Bush I, Reagan"
Gary,Allen,"Chief, Appellate Section, Tax Division",35,"Bush II, Clinton, Bush I, Reagan, Carter, Ford, Nixon, Johnson"
Jose,Allen,"Chief, Environmental Defense Section & Chief, General Litigation Section",6,"Reagan, Carter"
